ID,Adjusted cell count/mL,time
00AA,237835,0
00AB,255048,0
00AC,242206,0
00AD,270894,0
00AE,246305,0
00AF,239064,0
00AG,333597,0
00AH,326221,0
00AI ,333461,0
00AJ,349990,0
00AK,333324,0
00AL,330319,0
00AM,257643,0
00AN,253135,0
00AO,251223,0
02AA,24999,0
02AB,26912,0
02AC,20218,0
02AD,23087,0
02AE,22267,0
02AF,21311,0
02AG,21038,0
02AH,19808,0
02AI,20491,0
02AJ,20081,0
02AK,19125,0
02AL,19535,0
02AM,17622,0
02AN,21447,0
02AO,20901,0
03AA,8743,0
03AB,6284,0
03AC,8606,0
03AD,8743,0
03AE,5328,0
03AF,8606,0
03AG,6147,0
03AH,6557,0
03AI,8743,0
03AJ,9289,0
03AK,7513,0
03AL,7650,0
03AM,7240,0
03AN,6967,0
03AO,7104,0
04AA,3279,0
04AB,2596,0
04AC,3142,0
04AD,1503,0
04AE,1776,0
04AF,63796,0
04AG,3415,0
04AH,1913,0
04AI,3005,0
04AJ,2596,0
04AK,1639,0
04AL,1639,0
04AM,2049,0
04AN,1639,0
04AO,2049,0
05AA,0,0
05AB,1093,0
05AC,1503,0
05AD,1503,0
05AE,1093,0
05AF,-683,0
05AG,410,0
05AH,1366,0
05AI,820,0
05AJ,-137,0
05AK,273,0
05AL,-273,0
05AM,1776,0
05AN,-137,0
05AO,273,0
06AA,1503,0
06AB,5874,0
06AC,2596,0
06AD,2049,0
06AE,3142,0
06AF,9426,0
06AG,273,0
06AH,-410,0
06AI,410,0
06AJ,3279,0
06AK,1913,0
06AL,1093,0
06AM,0,0
06AN,2596,0
06AO,546,0
07AA,1776,0
07AB,-546,0
07AC,683,0
07AD,-1093,0
07AE,1503,0
07AF,-546,0
07AG,0,0
07AH,-546,0
07AI,1366,0
07AJ,820,0
07AK,1503,0
07AL,-410,0
07AM,-546,0
07AN,273,0
07AO,-137,0
08AA,-956,0
08AB,956,0
08AC,-137,0
08AD,2459,0
08AE,0,0
08AF,820,0
08AG,-956,0
08AH,-137,0
08AI,-1229,0
08AJ,-410,0
08AK,0,0
08AL,956,0
08AM,956,0
08AN,-137,0
08AO,546,0
09AA,683,0
09AB,273,0
09AC,1776,0
09AD,1229,0
09AE,273,0
09AF,-546,0
09AG,3142,0
09AH,410,0
09AI,0,0
09AJ,-273,0
09AK,273,0
09AL,273,0
09AM,-956,0
09AN,956,0
09AO,-1366,0
10AA,1366,0
10AB,4235,0
10AC,-273,0
10AD,-273,0
10AE,820,0
10AF,546,0
10AG,-820,0
10AH,-273,0
10AI,410,0
10AJ,-137,0
10AK,-546,0
10AL,-273,0
10AM,-273,0
10AN,-546,0
10AO,-683,0
11AA,0,0
11AB,-137,0
11AC,-546,0
11AD,-683,0
11AE,-546,0
11AF,410,0
11AG,-546,0
11AH,0,0
11AI,-546,0
11AJ,-273,0
11AK,1366,0
11AL,-820,0
11AM,-1229,0
11AN,0,0
11AO,-546,0
12AA,8048,0
12AB,5224,0
12AC,282,0
12AD,424,0
12AE,72716,0
12AF,1977,0
12AG,49136,0
12AH,706,0
12AI,706,0
12AJ,282,0
12AK,1130,0
12AL,2824,0
12AM,5224,0
12AN,-1130,0
12AO,-565,0
08AP,-1553,0
08AQ,-565,0
08AR,-1130,0
08AS,8331,0
08AT,-847,0
09AP,-847,0
09AQ,1553,0
09AR,-1130,0
09AS,424,0
09AT,2400,0
09AU,-1271,0
09AV,-988,0
09AW,-565,0
09AX,-1412,0
09AY,282,0
10AP,-706,0
10AQ,-1694,0
10AR,424,0
10AS,-1553,0
10AT,2400,0
