ID,Adjusted cell count/mL,time
08AE,83160,120
09AB,287252,120
09AE,69605,120
09AI,38838,120
09AJ,72803,120
09AK,37011,120
09AL,218409,120
10AA,24369,120
10AB,13708,120
10AC,71585,120
10AD,-1218,120
10AE,42189,120
10AF,-1371,120
10AG,-1523,120
10AH,24674,120
10AI,49043,120
10AJ,5483,120
10AK,-1371,120
10AM,-2589,120
10AO,152,120
10AP,-152,120
10AR,-609,120
10AS,19038,120
11AB,16145,120
11AC,1828,120
11AD,34878,120
11AE,-914,120
11AF,1371,120
11AG,305,120
11AH,8377,120
11AI,3808,120
11AJ,1675,120
11AK,152,120
11AL,3351,120
11AN,5483,120
11AO,1218,120
09AA,21171,108
09AM,20105,108
09AX,17363,108
10AQ,21323,108
