ID,Adjusted cell count/mL,time
07AC,26816,96
07AD,79101,96
07AE,32959,96
07AF,56479,96
07AH,60974,96
07AK,18427,96
07AM,234607,96
07AN,137378,96
07AO,92285,96
08AA,49738,96
08AB,33708,96
08AC,22772,96
08AD,48989,96
08AE,5094,96
08AF,159700,96
08AG,68015,96
08AH,41049,96
08AI,27865,96
08AK,64419,96
08AM,44195,96
08AO,43745,96
08AP,32060,96
08AQ,24719,96
08AR,41498,96
08AT,42547,96
09AA,20075,96
09AB,19176,96
09AD,22322,96
09AE,38652,96
09AG,14981,96
09AH,15880,96
09AI,-1049,96
09AJ,36255,96
09AK,-1049,96
09AL,14682,96
09AM,39251,96
09AO,23670,96
09AP,59026,96
09AQ,30112,96
09AR,29963,96
09AS,16629,96
09AT,15131,96
09AV,48390,96
09AW,36404,96
09AX,86142,96
09AY,75056,96
10AA,-1348,96
10AB,449,96
10AC,-2097,96
10AD,-2547,96
10AE,-1049,96
10AF,-2247,96
10AG,39401,96
10AH,-1199,96
10AI,-1199,96
10AJ,2547,96
10AK,2846,96
10AL,11536,96
10AM,-2097,96
10AN,14981,96
10AO,-1798,96
10AP,-300,96
10AQ,29813,96
10AR,-1348,96
10AS,25169,96
10AT,52285,96
11AA,52884,96
11AB,2097,96
11AC,-300,96
11AD,449,96
11AE,-1199,96
11AF,-749,96
11AG,300,96
11AH,5693,96
11AI,2097,96
11AJ,-300,96
11AK,-300,96
11AL,749,96
11AM,21273,96
11AN,2547,96
11AO,-449,96
