ID,Adjusted cell count/mL,time
00AA,399927,38
00AB,399814,38
00AC,383291,38
00AD,385202,38
00AE,378121,38
00AF,371489,38
00AG,342602,38
00AH,350807,38
00AI ,363621,38
00AJ,357888,38
00AK,341815,38
00AL,374973,38
00AM,348222,38
00AN,339005,38
00AO,350694,38
02AA,115437,38
02AB,230312,38
02AC,135220,38
02AD,125890,38
02AE,134882,38
02AF,84189,38
02AG,99026,38
02AH,84751,38
02AI,84976,38
02AJ,141739,38
02AK,91495,38
02AL,94530,38
02AM,84639,38
02AN,185913,38
02AO,119371,38
03AA,350694,38
03AB,67891,38
03AC,328439,38
03AD,136007,38
03AE,180855,38
03AF,100600,38
03AG,89022,38
03AH,86325,38
03AI,301238,38
03AJ,76883,38
03AK,428364,38
03AL,72724,38
03AM,103298,38
03AN,146572,38
03AO,176696,38
04AA,69464,38
04AB,64968,38
04AC,59573,38
04AD,89135,38
04AE,83627,38
04AF,183665,38
04AG,60472,38
04AH,70926,38
04AI,84639,38
04AJ,79131,38
04AK,68678,38
04AL,68790,38
04AM,64406,38
04AN,130836,38
04AO,66542,38
05AA,228330,38
05AB,169171,38
05AC,298752,38
05AD,204894,38
05AE,170537,38
05AF,115587,38
05AG,281801,38
05AH,178614,38
05AI,200912,38
05AJ,170992,38
05AK,232995,38
05AL,131060,38
05AM,316727,38
05AN,392610,38
05AO,744377,38
06AA,212858,38
06AB,109899,38
06AC,504898,38
06AD,34358,38
06AE,131515,38
06AF,104666,38
06AG,34699,38
06AH,76906,38
06AI,134814,38
06AJ,186692,38
06AK,222869,38
06AL,191015,38
06AM,366671,38
06AN,172926,38
06AO,54494,38
07AA,39136,38
07AB,147783,38
07AC,13425,38
07AD,10467,38
07AE,9898,38
07AF,13311,38
07AG,421734,38
07AH,26053,38
07AI,18999,38
07AJ,17293,38
07AK,15586,38
07AL,41297,38
07AM,23322,38
07AN,21957,38
07AO,20364,38
