"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"X02AM.1",49,0.110248808929607,0.357998843636653,0.119755296801456,1,-2.068802310413,0.1,9
"X02AN.1",55,0.101308164187454,0.355205177281517,0.107778729118323,1,-2.35572468863801,0.1,9
"X02AO.1",57,0.0996494132967319,0.313991806988991,0.0838416348347854,1,-2.55651495959773,0.1,9
"X03AA.1",50,0.0927430169430503,0.267863298154724,0.116691053236912,1,-1.50071729026335,0.1,9
"X03AB.1",49,0.141386014094144,0.316748564923651,0.0802815092478494,1,-2.18434546724973,0.1,9
"X03AC.1",36,0.137113774277678,0.304326236912197,0.138242066218231,1,-1.20956281404645,0.1,9
"X03AD.1",36,0.12454394070499,0.352456837155283,0.0975016076430799,1,-2.33752962602017,0.1,9
"X03AE.1",46,0.163665382954935,0.343670407319212,0.13872909980676,1,-1.29752895834408,0.1,9
"X03AF.1",45,0.113534009843724,0.332586514278606,0.115798808095817,1,-1.89166458650964,0.1,9
"X03AH.1",37,0.15518854705457,0.350028556329073,0.0883852366501325,1,-2.2044406584073,0.1,9
"X03AL.1",40,0.181873662734641,0.323675935432461,0.0643211033956149,1,-2.20459950485687,0.1,9
"X03AM.1",44,0.13960487281818,0.315381741237086,0.149089111980512,1,-1.17900540209726,0.1,9
"X03AN.1",36,0.158443416503087,0.386999583218755,0.115828899075643,1,-1.97322230064888,0.1,9
"X05AB.1",21,0.272884591503473,0.406274332881463,0.216989153409665,4,-0.614729995863696,0.4,9
"X05AF.1",13,0.85729733585615,0.49084914351024,0.100377108775407,10,3.65071475774258,1,9
"X00AC.2",31,0.116942018864696,0.348974957717194,0.112989317558171,2,-2.05358297462977,0.2,9
"X00AD.2",21,0.182839934960901,0.552468762775179,0.190137013677926,1,-1.94401300759038,0.1,9
"X00AE.2",63,0.113543955190843,0.352477703725682,0.177106911473323,1,-1.34909330498279,0.1,9
"X00AF.2",49,0.116163145742419,0.354577391122123,0.124581110653788,1,-1.91372708212772,0.1,9
"X00AG.2",51,0.105772665256041,0.367432275448036,0.106920194514453,1,-2.44724218264143,0.1,9
"X00AH.2",31,0.251336203614037,0.413850302706442,0.0908391086265075,1,-1.78903229621721,0.1,9
"X00AI.2",44,0.158811041487823,0.410622812392061,0.101075347980125,1,-2.49132727154946,0.1,9
"X00AJ.2",49,0.103784428016799,0.39477419839027,0.124531964913855,1,-2.33666730124079,0.1,9
"X00AK.2",33,0.253925342176995,0.38247028503669,0.157030733586243,2,-0.818597353040427,0.2,9
"X00AM.2",43,0.852059228029439,0.311721229341631,0.147422737197522,10,3.66522836951428,1,9
"X00AN.2",41,0.274039302527355,0.352206199675913,0.125304977944307,3,-0.623813183090777,0.3,9
"X00AO.2",59,0.144876687366147,0.354345273551119,0.116302911509016,1,-1.80106055357637,0.1,9
"X02AB.2",46,0.118496195439433,0.360905965743447,0.103013083098668,1,-2.35319401198612,0.1,9
"X02AC.2",49,0.109770176900504,0.331594059073383,0.0884064541168077,1,-2.50913674107767,0.1,9
"X02AF.2",48,0.13991799633503,0.376432569390397,0.109794853197984,1,-2.15414990927562,0.1,9
"X02AG.2",47,0.123481502150711,0.377913037802516,0.106231198551195,1,-2.39507356710457,0.1,9
"X02AH.2",41,0.151010526978743,0.404875191632491,0.114204923205536,1,-2.22288722349442,0.1,9
"X02AK.2",42,0.127941333597901,0.400461678095651,0.124715488549527,1,-2.1851363264277,0.1,9
"X02AL.2",41,0.142664517950707,0.395305521203302,0.114976048435821,1,-2.19733593813339,0.1,9
"X02AM.2",41,0.124168879250282,0.360972945435737,0.109890193847617,1,-2.15491535590362,0.1,9
"X02AN.2",56,0.100802039859284,0.326949306645224,0.0946539701956616,1,-2.38920001261929,0.1,9
"X02AO.2",44,0.139997323794302,0.355942573320965,0.117989200098995,1,-1.83021199690718,0.1,9
"X03AB.2",33,0.190376554981929,0.388005317578697,0.0956347375107913,1,-2.06649558247041,0.1,9
"X03AC.2",40,0.147946182715301,0.363448187713201,0.248043620610437,2,-0.868806883513261,0.2,9
"X03AD.2",37,0.171733801509902,0.353441044853278,0.132465954897641,1,-1.37172787893904,0.1,9
"X03AE.2",45,0.161056886684839,0.295702288828982,0.0906573548747767,1,-1.48521211908428,0.1,9
"X03AF.2",40,0.151195233226938,0.325948471033646,0.108241901948558,2,-1.61446939365274,0.2,9
"X03AG.2",45,0.207850668600061,0.330409068024433,0.12632670728121,1,-0.970170141073573,0.1,9
"X05AF.2",16,0.587940662235526,0.501317058356209,0.172943124137019,6,0.500879143426871,0.6,9
"X00AB.3r",34,0.104235659447671,0.358323259730867,0.0818040623621403,1,-3.10605112932374,0.1,9
"X00AC.3r",41,0.107094350535802,0.290973622647254,0.111980210150719,1,-1.64206936086261,0.1,9
"X00AD.3r",23,0.14190519520933,0.453787823001407,0.195871471823076,2,-1.59228204541083,0.2,9
"X00AG.3r",35,0.191019733611515,0.469819351291566,0.180629240957194,1,-1.54349105495119,0.1,9
"X00AJ.3r",43,0.140527422974713,0.434435257158321,0.106549880036734,1,-2.75840605435014,0.1,9
"X00AL.3r",25,0.272588940661424,0.343193886403723,0.0986771915284549,4,-0.71551434175079,0.4,9
"X00AO.3r",31,0.208127190197968,0.505647791529269,0.245964845762907,1,-1.20960619558654,0.1,9
"X02AB.3r",43,0.14214463061019,0.370491472915973,0.100899783483982,1,-2.26310537467144,0.1,9
"X02AC.3r",42,0.14358860810707,0.39851238244244,0.114459873722554,1,-2.22718902305707,0.1,9
"X02AD.3r",27,0.149036736242183,0.518922038532253,0.281475304391234,1,-1.31409504322252,0.1,9
"X02AF.3r",20,0.120068941305359,0.557001561652863,0.201528837298397,1,-2.16808981883101,0.1,9
"X02AH.3r",33,0.137473905933739,0.44532168482009,0.139713047263761,1,-2.20342899189059,0.1,9
"X02AM.3r",39,0.13784467170526,0.398152375606293,0.107582591817546,1,-2.41960803791101,0.1,9
"X03AA.3r",27,0.160628626127276,0.363060850792407,0.277931520654331,2,-0.728352884151272,0.2,9
"X03AB.3r",47,0.0872606411859367,0.317019070266223,0.0629894528974078,1,-3.64756984720122,0.1,9
"X03AC.3r",37,0.140602878922897,0.320826865899252,0.121725181435857,1,-1.4805809681321,0.1,9
"X03AD.3r",27,0.136370356296901,0.443855516580927,0.156539310541257,1,-1.96426801179111,0.1,9
"X03AE.3r",77,0.0332456836084759,0.277221041933763,0.19667914273413,1,-1.24047397672,0.1,9
"X03AG.3r",30,0.313164617644679,0.382187586283224,0.133873530393434,5,-0.515583390052512,0.5,9
"X03AH.3r",33,0.174127378521643,0.338140429210185,0.103322966028839,1,-1.58738233126954,0.1,9
"X03AJ.3r",35,0.087384615920951,0.321599461701381,0.207458396965321,1,-1.12897259983929,0.1,9
"X03AL.3r",47,0.11489350344946,0.323648337172139,0.0663294989649367,1,-3.14723971958588,0.1,9
"X03AM.3r",44,0.124760108518455,0.356503664559806,0.126057460766358,1,-1.83839619354922,0.1,9
"X03AN.3r",36,0.137504847945067,0.35594708315255,0.0983315276072562,1,-2.22148725360963,0.1,9
"X03AO.3r",51,0.129348557036734,0.284610564767474,0.0815957655762998,1,-1.90281942493149,0.1,9
"X04AB.1r",50,0.089200822792158,0.369094827776935,0.134124727189638,1,-2.08681882043298,0.1,9
"X04AC.1r",51,0.143276682700421,0.348965672307172,0.134128891639553,1,-1.53351740324153,0.1,9
"X04AD.1r",49,0.118666492642875,0.367155178724586,0.155529939188876,1,-1.59769036995472,0.1,9
"X04AF.1r",33,0.184289153618327,0.428615374958468,0.16803171403515,1,-1.45404825953886,0.1,9
"X04AG.1r",35,0.186754691778846,0.371331121663268,0.118656454686223,1,-1.55555321766961,0.1,9
"X04AH.1r",36,0.115808873623805,0.388573878848609,0.200101416007633,1,-1.36313380818055,0.1,9
"X04AK.1r",40,0.112621409788493,0.295882662005349,0.129942018328003,1,-1.41033096587943,0.1,9
"X04AO.1r",36,0.170996886468981,0.350966382393188,0.0930247102109701,1,-1.93464183350913,0.1,9
"X04AB.2r",43,0.118551465684766,0.418193791060076,0.173200645337886,1,-1.73003007460369,0.1,9
"X04AH.2r",24,0.138601336480657,0.431106797634474,0.177510196599885,1,-1.64782343074711,0.1,9
"X04AJ.2r",34,0.10487944954718,0.337776912238851,0.134512025506587,1,-1.73142484335176,0.1,9
"X04AK.2r",28,0.111218127935486,0.322255435679091,0.190374660835167,2,-1.10853674967977,0.2,9
"X04AN.2r",33,0.156267170021554,0.421314237154658,0.17902029520437,1,-1.48054200687427,0.1,9
"X03AK.1r",54,0.105513874652605,0.282334794448041,0.112194276897217,1,-1.57602441662355,0.1,9
"X05AA.1r",25,0.285025186868182,0.356373547483298,0.159532384956167,5,-0.447234338248747,0.5,9
"X05AC.1r",24,0.223832706139404,0.472537498193185,0.0983792309994537,1,-2.52802130619584,0.1,9
"X05AD.1r",28,0.211142805993618,0.532682463072004,0.334840244209014,3,-0.960277811999429,0.3,9
"X05AE.1r",29,0.147132329194517,0.353922263764355,0.124170292332448,1,-1.66537366293855,0.1,9
"X05AG.1r",22,0.12355783640941,0.487772441801758,0.194317356858233,1,-1.87432873357817,0.1,9
"X05AI.1r",23,0.371342117390026,0.511289629187458,0.189113367138151,3,-0.740019142566465,0.3,9
"X05AJ.1r",30,0.138743519554474,0.429246410860723,0.123987707499843,1,-2.34299752099712,0.1,9
"X06AA.1r",19,0.109597299163816,0.629868293358966,0.513217914283728,1,-1.01374285603663,0.1,9
"X06AB.1r",17,0.326237260367172,0.737888140505131,0.34153623074514,1,-1.20529198099964,0.1,9
"X06AC.1r",17,0.315571807232444,0.474066408303983,0.142633987853562,3,-1.11119799324591,0.3,9
"X06AI.1r",8,0.216660118372735,1.13207012257583,0.598236634808862,1,-1.5301804519136,0.1,9
"X06AN.1r",19,0.263768527555132,0.51067306710968,0.315610867329013,4,-0.782306837670324,0.4,9
"X07AB.1r",30,0.115462274375106,0.380633374788545,0.163326900273129,1,-1.62356047883109,0.1,9
"X07AG.1r",5,0.0888519935248996,1.0465379292047,0.355122859091501,1,-2.69677355642444,0.1,9
"X03AI.2r",38,0.138292259271374,0.324380571389784,0.115361943706442,1,-1.61308232281475,0.1,9
"X03AK.2r",53,0.117908912639306,0.333633124391947,0.099179269521055,1,-2.17509377508416,0.1,9
"X05AA.2r",21,0.0944259846747593,0.335731377241934,0.209486097451548,1,-1.15189215658087,0.1,9
"X05AD.2r",22,0.167913630004458,0.5346788457152,0.285535082850433,2,-1.28448389616227,0.2,9
"X05AG.2r",26,0.146049342792252,0.415022243106376,0.184097425578931,1,-1.46103564168964,0.1,9
"X05AI.2r",29,0.349892446937468,0.406137292006002,0.219241571617294,5,-0.256542792745139,0.5,9
"X05AJ.2r",25,0.166108548426012,0.480919622829924,0.138219815207026,1,-2.27761174425235,0.1,9
"X05AN.2r",30,0.412972826092478,0.473349793279615,0.313620324333293,7,-0.192516117427942,0.7,9
"X06AA.2r",28,0.117518992888136,0.468719015411886,0.387518816687844,1,-0.906278630610729,0.1,9
"X06AC.2r",16,0.324757271430617,0.455658496332195,0.135079328719116,3,-0.969069258359831,0.3,9
"X06AJ.2r",18,0.173892456173002,0.680689026456653,0.394097700447884,1,-1.28596682931082,0.1,9
"X06AM.2r",13,0.260431666184141,0.593560296098433,0.291756755283551,2,-1.14180262798211,0.2,9
"X06AN.2r",19,0.103506811558427,0.475738638954027,0.22177192253961,1,-1.67844433656437,0.1,9
"X07AG.2r",7,0.248353039073834,0.829507030238408,0.402900842337846,2,-1.44242436375265,0.2,9
"X03AK.3r",46,0.137353921603679,0.31682061768374,0.065801362655178,1,-2.72740090536618,0.1,9
"X05AA.3r",20,0.186565207004904,0.370953431396708,0.226297605116783,3,-0.814804135009068,0.3,9
"X05AI.3r",25,0.412819629858766,0.426958831234853,0.226528060556946,6,-0.0624169974409524,0.6,9
"X05AJ.3r",21,0.178420753347228,0.556164497719057,0.206536370158969,1,-1.82894540114694,0.1,9
"X06AJ.3r",16,0.498058559738926,0.602624253912023,0.363913416983688,6,-0.287336738062021,0.6,9
"X06AN.3r",21,0.270800081256063,0.491931198366527,0.271442540958756,2,-0.814651661929674,0.2,9
"X07AB.3r",10,0.132071320272237,0.648203706398437,0.478162161017305,1,-1.07940867806878,0.1,9
"X07AG.3r",5,0.282642970988347,0.930451757006446,0.36984910104601,1,-1.7515488997701,0.1,9
"X10AI3r",10,0.096125268154602,1.09458532450085,0.760613945568043,2,-1.31270280036816,0.2,9
"X11AM1r",16,0.235452935924857,0.671596725813502,0.392248257932884,2,-1.11190752557344,0.2,9
"X05AF3r",10,0.56125774295732,0.681838598162243,0.356662202051041,5,-0.338081396098337,0.5,9
"X08AN1r",15,0.0349893733874397,0.578734141660046,0.247133637607763,1,-2.20020541734431,0.1,9
"X03AF3r",19,0.323404046523875,0.636123241877842,0.243248401684976,1,-1.28559609513473,0.1,9
"X10AC1r",5,0.0617619689947606,1.25563977237867,0.76059763773959,1,-1.56965752211902,0.1,9
"X05AB3r",17,0.154059831726046,0.634913623544311,0.538559518648966,1,-0.892851718644835,0.1,9
"X07AJ2r",21,0.133248961043304,0.612437082806666,0.392256521839662,1,-1.22161925954984,0.1,9
