"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"X04AH.2r",24,0.881352294489191,1.22179813943773,0.301358906208533,1,-1.12970228499887,0.1,9
"X04AJ.2r",34,1.00000254346017,1.30028053996574,0.31175202636321,2,-0.963195011139178,0.2,9
"X04AK.2r",28,0.395458105551483,0.700710667790098,0.160577928554194,1,-1.90096213711957,0.1,9
"X04AN.2r",33,1.10530040508953,1.30529726419169,0.314563755975168,4,-0.635791172069886,0.4,9
"X03AK.1r",54,1.03829632188024,1.49873118708167,0.389713689075465,1,-1.18146957140185,0.1,9
"X05AA.1r",25,1.159497295288,1.11721694666314,0.259679465261888,7,0.162817451053429,0.7,9
"X05AC.1r",24,1.45231548109689,1.26575318048616,0.207003044077506,9,0.901253899149803,0.9,9
"X05AD.1r",28,0.882788413015975,1.26673066407019,0.509176869463539,3,-0.754044957813445,0.3,9
"X05AE.1r",29,0.906358545557718,1.26291931577695,0.216913615193628,1,-1.64379156145153,0.1,9
"X05AG.1r",22,1.05217546754876,1.28239454911548,0.281633432391756,3,-0.817442302966648,0.3,9
"X05AI.1r",23,1.12598200143953,1.23938030187388,0.219787056984591,4,-0.515946216261083,0.4,9
"X05AJ.1r",30,1.10447556677866,1.39712355203351,0.252458260111818,2,-1.15919354401489,0.2,9
"X06AA.1r",19,0.63642169349495,0.628359954269598,0.174183431597839,6,0.0462830428324858,0.6,9
"X06AB.1r",17,1.40337441193689,1.27481461202583,0.28294709756671,8,0.454359846828773,0.8,9
"X06AC.1r",17,0.974091093352666,1.24985090603655,0.449906861978874,3,-0.612926443199783,0.3,9
"X06AI.1r",8,0.385456386176561,0.865678912842962,0.213769010507951,1,-2.246455300164,0.1,9
"X06AN.1r",19,0.838083702965969,0.967187808573929,0.291163717176765,4,-0.443407258499795,0.4,9
"X07AB.1r",30,0.921197106320287,1.30338089121475,0.302465666838872,1,-1.26356088242589,0.1,9
"X07AG.1r",5,0.0287841961321323,0.0569712675321265,0.0174551994805785,1,-1.61482379112061,0.1,9
"X03AI.2r",38,1.14878855872514,1.31191686972865,0.291741675091405,4,-0.559153267877836,0.4,9
"X03AK.2r",53,1.15652922549378,1.51699026162294,0.356469937385979,1,-1.01119617203193,0.1,9
"X05AA.2r",21,0.328655308119484,0.539387236277254,0.102677791928421,1,-2.052361315918,0.1,9
"X05AD.2r",22,0.502196515475755,1.23539193022839,0.519087555610064,2,-1.41246964375969,0.2,9
"X05AG.2r",26,1.24506121267902,1.2674865012809,0.292205449858531,7,-0.0767449361835609,0.7,9
"X05AI.2r",29,1.11505900579158,1.18051642423962,0.223846196827602,4,-0.292421400835548,0.4,9
"X05AJ.2r",25,1.12749459719067,1.4130344013855,0.295219192087473,3,-0.967212877238116,0.3,9
"X05AN.2r",30,1.34148235620106,1.34538141480931,0.202681530371347,6,-0.0192373651467346,0.6,9
"X06AA.2r",28,0.836696401615672,0.762067425216473,0.220518177512685,6,0.338425508685817,0.6,9
"X06AC.2r",16,0.9340183236492,1.04811926759144,0.29577873558239,3,-0.385764526708033,0.3,9
"X06AJ.2r",18,1.0158169266441,1.22526783471449,0.295817897469833,3,-0.708040013338771,0.3,9
"X06AM.2r",13,0.919745580209799,1.26616319192888,0.285027050343155,3,-1.21538503556773,0.3,9
"X06AN.2r",19,0.93629472096902,1.08840325651946,0.327175392594152,4,-0.464914351731595,0.4,9
"X07AG.2r",7,0.490543357050048,0.595031173361593,0.228220649485246,4,-0.457836819530652,0.4,9
"X03AK.3r",46,1.28374357378847,1.49509608397023,0.287688579769482,2,-0.734657282367998,0.2,9
"X05AA.3r",20,0.512779785246889,0.715460296910925,0.181149946280263,3,-1.11885493661954,0.3,9
"X05AI.3r",25,1.13557550674158,1.13821114784271,0.196855865107527,5,-0.013388684658626,0.5,9
"X05AJ.3r",21,1.12829024486887,1.39521313738696,0.326061607744954,4,-0.818627174061158,0.4,9
"X06AJ.3r",16,1.20625797942545,1.25171504004767,0.270796215074503,6,-0.167864460770666,0.6,9
"X06AN.3r",21,0.92773468273684,1.09610715400256,0.323499595861154,2,-0.520471967878379,0.2,9
"X07AB.3r",10,0.430553017273882,0.423781221663873,0.132366133434381,5,0.0511595786196023,0.5,9
"X07AG.3r",5,0.587184817467086,0.705078741830904,0.285171564114233,5,-0.413414025798844,0.5,9
"X10AI3r",10,0.148868628920767,0.241959982278482,0.0929329736595825,3,-1.00170423577225,0.3,9
"X11AM1r",16,1.46063575427476,0.9981755275943,0.230676589507757,10,2.00479913313835,1,9
"X05AF3r",10,0.549628926430748,0.947474223154385,0.299840052239863,2,-1.3268584158509,0.2,9
"X08AN1r",15,0.752665081641733,1.21135547859683,0.314800835907378,1,-1.45708125467002,0.1,9
"X03AF3r",19,0.528577898692335,1.1920802996755,0.2358208751221,1,-2.81358637414786,0.1,9
"X10AC1r",5,0.0122687314981155,0.0551459368788291,0.0295006402025946,1,-1.45343304708833,0.1,9
"X05AB3r",17,0.50853499232314,0.641920798477461,0.140487726139669,3,-0.949448110660662,0.3,9
"X07AJ2r",21,0.796006316378081,1.03496605333674,0.363290233422671,3,-0.657765375929168,0.3,9
