00AA.1,0,5865214,12873758,8052367,1453925,1819974,2483185,4890629
00AI.1,0,11564260,24036835,6002521,2026876,847223,1619888,4607079
02AA.1,0,28104631,41191911,38102340,38114833,29516497,30176731,39284008
02AI.1,0,24884506,38669005,33329295,27269576,10713421,7547942,41765338
03AA.1,0,18331763,30925533,26278929,18196052,4951590,3154405,30312161
03AJ.1,0,17725745,26868402,27195565,18306984,8586175,3533427,38089608
00AA.2,0,6813580,13926555,5571332,1090247,483975,2281516,4992232
00AI.2,0,16783260,32927726,27750567,15722915,601377,2498791,4089397
02AA.2,0,26642174,40994489,41283552,24952608,28291830,25727072,40834876
02AI.2,0,20097972,32594460,30909679,24499788,6651985,19805068,39069021
03AA.2,0,16870569,30452512,24527857,11616412,5990154,4999869,33570903
03AJ.2,0,16763611,28429617,28849733,19925570,7855057,3623518,37490768
00AB.1,0,3071448,14653240,7442447,3048517,1915619,3690848,9775570
00AJ.1,0,20025098,33513840,28579633,21423663,12382085,13190203,32687977
02AB.1,0,20928221,29772052,24582767,16049932,8767588,13795290,30184859
02AJ.1,0,19642009,30481325,29041142,15143901,8407862,7566350,31583615
03AB.1,0,21714616,30869567,30811709,19357525,11017589,10103409,48067821
03AL.1,0,17851712,33081581,30730462,17156172,6638808,7117764,45337510
00AB.2,0,4074142,17680750,10431993,3375490,1583156,2855264,16108795
00AJ.2,0,18060855,31121611,29605549,18725776,12528228,26139836,24439373
02AB.2,0,18065104,24802816,26369388,13928746,6817830,22636932,27431620
02AJ.2,0,18203204,28243696,28814652,15525963,3118911,18573589,35566341
03AB.2,0,20009103,33681847,31512944,22897650,10435715,7124623,51505370
03AL.2,0,17747581,35249683,31432074,22251579,6740729,6036712,36519612
00AC.1,0,4044340,13962785,13387203,6385940,2461337,8701136,19100634
00AK.1,0,23576294,27974088,11581993,3240040,2059060,654102,10811833
02AC.1,0,21803067,30715364,30055927,19319910,21585690,17752318,35854190
02AK.1,0,22835449,31869548,29488510,16851214,16054671,7872625,40591986
03AC.1,0,23908157,31494653,30113471,19098086,15690615,6978857,40568706
03AM.1,0,21256821,36377408,37166447,22323354,23881363,9822517,45356603
00AC.2,0,4136268,13403966,7584813,2794797,2167578,2993047,13825787
00AK.2,0,17988570,22633930,8812316,2820903,3482133,3432275,6132074
02AC.2,0,21025185,28170217,27610695,18082167,19067820,16282202,34074000
02AK.2,0,22925608,30944585,30638327,20756682,17161957,14553269,41934626
03AC.2,0,20034775,29541100,26783438,17615602,11940869,4694713,31486228
03AM.2,0,21275688,38667303,36992991,26405597,17865119,7564141,46629316
00AD.1,0,6402574,17518469,9155555,3860869,1836832,5686897,10774856
00AL.1,0,16157120,28310431,17447325,3573361,2666790,1735766,9305569
02AD.1,0,18489441,30188793,26546626,14234695,20253043,28318747,40186286
02AL.1,0,27459513,41925075,39380372,26549538,26753437,22857702,39206963
03AD.1,0,19657467,29863137,29552440,13873127,8245480,4533258,41295543
03AN.1,0,25297432,43603274,40732917,19107473,26234359,10905829,51179104
00AD.2,0,6775754,13233380,5899323,2249639,2491051,2009476,7567493
00AL.2,0,11886200,12682172,4215224,1021636,2141778,4620401,10934262
02AD.2,0,16418807,29272857,30214695,18119626,16899339,30077594,39219523
02AL.2,0,24817151,37383706,36751319,29145773,24871265,16589814,37660767
03AD.2,0,19887515,30005735,27207943,17531003,8308288,4006736,38735150
03AN.2,0,24025267,40932206,36627596,32432034,19413175,4514392,48989441
00AE.1,0,11903800,20928662,11816498,8489223,14362933,3808291,24135128
00AM.1,0,10338076,21845269,9447405,2219275,1622869,1755541,8920531
02AE.1,0,17778464,25744856,22419480,15564757,15593027,11419746,23741643
02AM.1,0,23412175,32334174,30929028,22241641,24233180,13883557,43211712
03AE.1,0,21291664,25822646,24225171,12916846,11404466,11013700,27685816
03AO.1,0,21159039,36965977,31279537,18928395,16645489,8008403,44125278
00AE.2,0,10966239,19669384,10824349,3965746,9371606,5279141,18045405
00AM.2,0,16253353,22587573,9578987,1700397,627453,702185,4496571
02AE.2,0,17785326,23445067,20662123,12729784,8437908,12373376,24828084
02AM.2,0,23346929,32552809,29528620,21197234,16687175,9464405,38693547
03AE.2,0,19160341,30533968,25150231,15210908,9098789,3981194,36291975
03AO.2,0,18254527,29669647,27053039,17734230,12389118,5871708,39469134
00AF.1,0,15358512,28437532,25490563,20374403,6364026,1412137,5130970
00AN.1,0,19990377,28657146,26423153,25784962,20547978,10685398,22961348
02AF.1,0,20939035,28870075,27124679,21856327,21437404,14263994,28838252
02AN.1,0,21036009,26308330,21978680,18368477,15053700,12784516,25547425
03AF.1,0,21033541,33499269,32274064,22938242,19193046,12855209,39765444
05AB.1,0,18892567,26452130,20152509,12409252,10477244,7796267,32187998
00AF.2,0,19548576,29587151,28309145,20880570,21954149,5908647,9498795
00AN.2,0,15223813,21944444,7574163,3175343,2973850,2890224,6876234
02AF.2,0,21460311,25881035,27769128,19284943,16999646,12588205,26084328
02AN.2,0,18560937,27125314,24259105,17890480,11742936,9022051,25892512
03AF.2,0,20307417,31861622,31841538,24634419,19453184,12237253,42394652
05AB.2,0,19617285,25071303,20212479,9654966,7054799,3108975,27477524
00AG.1,0,21257249,32608672,27193508,25907577,17237878,13165752,31449962
